"","STRING","MEANING","AGE","bin"
"394","over","across",3.71054121212121,"(3,4]"
"395","stove","for cooking or heating",3.741815625,"(3,4]"
"396","with","on side of",3.17662302083333,"(3,4]"
"397","mailman","letter carrier",3.4483487654321,"(3,4]"
"398","deer","a forest animal",4.86665073627845,"(4,5]"
"399","and","also",2.595148187751,"(2,3]"
"400","cloud","make unclear",3.71531450034941,"(3,4]"
"401","buy","get by paying price",3.59424723439508,"(3,4]"
"402","game","a sports match",3.30005696557787,"(3,4]"
"403","away","not at home",3.51606448526359,"(3,4]"
"404","write","to put on paper",3.64638165509259,"(3,4]"
"405","build","to develop",3.41188383462764,"(3,4]"
"406","high","tall",3.35672558219178,"(3,4]"
"407","wake","stop sleeping",3.68912193287037,"(3,4]"
"408","rooster","male chicken",4.06612190580504,"(4,5]"
"409","sweep","to brush off a floor",3.78096987554759,"(3,4]"
"410","take","to steal",3.41077549382716,"(3,4]"
"411","share","divide with others",3.54705197048611,"(3,4]"
"412","oven","used for baking",3.64654545454545,"(3,4]"
"413","loud","very noisy",3.43981155336355,"(3,4]"
"414","nail","tool",3.78162304908192,"(3,4]"
"415","did","was doing",3.61163726744186,"(3,4]"
"416","a","one, any",2.11236425925926,"(2,3]"
"417","show","the appearance only",3.76275290509259,"(3,4]"
"418","snowman","a man made of snow",2.54215588723051,"(2,3]"
"419","lollipop","candy on a stick",3.05013565891473,"(3,4]"
"420","friend","person one likes",3.01792928126769,"(3,4]"
"421","gonna","going to",3.84017448165869,"(3,4]"
"422","picnic","a meal in the open",3.7947653907496,"(3,4]"
"423","shoulder","part of the body",3.52018720538721,"(3,4]"
"424","windy","having much wind",3.80423423423423,"(3,4]"
"425","is","now",3.42536362481315,"(3,4]"
"426","white","part of egg",3.15734016672097,"(3,4]"
"427","fireman","puts out fires",3.72345611111111,"(3,4]"
"428","sprinkler","waters grass",3.87619186046512,"(3,4]"
"429","he","a man or boy",2.65300332731504,"(2,3]"
"430","pour","to make flow",3.72080882462687,"(3,4]"
"431","cute","pretty, pleasing",3.36354210526316,"(3,4]"
"432","dryer","takes out moisture",4.22224637197665,"(4,5]"
"433","say","to tell or speak",3.12245747993119,"(3,4]"
"434","who","what person",3.28705164659786,"(3,4]"
"435","smile","curve mouth upwards",3.01530150700137,"(3,4]"
"436","not","meaning no",3.13999386351859,"(3,4]"
"437","tuna","large fish",3.87779880774963,"(3,4]"
"438","farm","food-growing land",3.375565164801,"(3,4]"
"439","lick","pass tongue over",3.43706784625261,"(3,4]"
"440","sad","not happy",2.92832818181818,"(2,3]"
"441","wolf","wild, doglike animal",3.6239923734319,"(3,4]"
"442","first","ahead of second",3.17017237029421,"(3,4]"
"443","for","in favor of",2.95774291347789,"(2,3]"
"444","later","afterwards",4.15954378342246,"(4,5]"
"445","new","modern",3.29162092741935,"(3,4]"
"446","cover","something placed over",4.16911167929293,"(4,5]"
"447","goose","duck-like bird",3.59764956989247,"(3,4]"
"448","sidewalk","pavement for walkers",3.275,"(3,4]"
"449","why","the reason that",3.12876388528138,"(3,4]"
"450","lamp","a light fixture",4.48755911060143,"(4,5]"
"451","brother","your parents' son",2.99618804713805,"(2,3]"
"452","sister","opposite of brother",2.78453754467755,"(2,3]"
"453","washer","a machine that washes",4.30583333333333,"(4,5]"
"454","hard","not easy to break",3.4695271875,"(3,4]"
"455","penguin","sea bird",3.76114457845785,"(3,4]"
"456","pudding","kind of food",3.54548501268846,"(3,4]"
"457","am","my being",3.48235166666667,"(3,4]"
"458","another","one added",3.49072666666667,"(3,4]"
"459","coke","soft drink",3.83320295698925,"(3,4]"
"460","haveto","must",2.33333333333333,"(2,3]"
"461","listen","try to hear",3.55658616161616,"(3,4]"
"462","noisy","makes loud sounds",3.83166666666667,"(3,4]"
"463","pretzel","twisted biscuit",4.56456262626263,"(4,5]"
"464","pick","choice",3.73851307383403,"(3,4]"
"465","black","the darkest color",3.04379884408602,"(3,4]"
"466","finish","the end",4.22555447579241,"(4,5]"
"467","jeans","overalls",3.84595743189102,"(3,4]"
"468","salt","food seasoning",3.67837696555695,"(3,4]"
"469","taste","to get the flavor",3.44521021505376,"(3,4]"
"470","at","in or on",2.92138815332603,"(2,3]"
"471","mad","angry",2.90287963615023,"(2,3]"
"472","day","while sun shines",2.9883443034385,"(2,3]"
"473","fit","adjust properly",4.1594874640005,"(4,5]"
"474","she","woman or girl",2.80100755208333,"(2,3]"
"475","playground","area for childre's games",3.33712643678161,"(3,4]"
"476","teacher","a school worker",3.40481198471198,"(3,4]"
"477","movie","motion picture",3.84210395256917,"(3,4]"
"478","shake","to tremble",3.96319738375604,"(3,4]"
"479","trash","waste material",3.52419944194569,"(3,4]"
"480","sauce","makes food tasty",3.95428198924731,"(3,4]"
"481","any","no special one",3.46324151090342,"(3,4]"
"482","we","you and I",2.90787395380435,"(2,3]"
"483","brown","a color",3.16584185526094,"(3,4]"
"484","police","a government department",3.77693592614891,"(3,4]"
"485","chase","to drive away",3.85920754493967,"(3,4]"
"486","because","for the reason that",3.73229708458208,"(3,4]"
"487","your","belonging to you",3.53884873239437,"(3,4]"
"488","tricycle","a three-wheeler",3.24045768566494,"(3,4]"
"489","today","now",3.39483412878788,"(3,4]"
"490","tomorrow","the coming day",4.02840897274633,"(4,5]"
"491","tear","water from eye",3.81950455246914,"(3,4]"
"492","other","the second of two choices",4.09584851190476,"(4,5]"
"493","old","out of date",3.29797835664668,"(3,4]"
"494","garden","planting place",3.57055147727273,"(3,4]"
"495","after","looking for",3.50389691593353,"(3,4]"
"496","by","beside",3.29065999831989,"(3,4]"
"497","how","the way it's done",3.8895188795406,"(3,4]"
"498","will","is going to",4.78763893162393,"(4,5]"
"499","they","he and she",3.26241972732843,"(3,4]"
"500","are","plural of is",3.54204433806147,"(3,4]"
